Run	Pair1Filename	Pair2Filename	Pair1bFilename	Pair2bFilename
SRR5009369	siU2AF2-3_S17_L001_R1_001.fastq.gz	siU2AF2-3_S17_L001_R2_001.fastq.gz		
SRR5009370	DAZAP1-1_S21_L001_R1_001.fastq.gz	DAZAP1-1_S21_L001_R2_001.fastq.gz		
SRR5009371	m130308_164112_42195_c100415822550000001523046103151357_s1_p0.bas.h5	m130308_164112_42195_c100415822550000001523046103151357_s1_p0.metadata.xml		
SRR5009372	siNT-Plate-3_S18_L001_R1_001.fastq.gz	siNT-Plate-3_S18_L001_R2_001.fastq.gz		
SRR5009373	m130319_220129_42195_c100364412550000001523030104101316_s1_p0.bas.h5	m130319_220129_42195_c100364412550000001523030104101316_s1_p0.metadata.xml		
SRR5009374	siPTBP3-3_S12_L001_R1_001.fastq.gz	siPTBP3-3_S12_L001_R2_001.fastq.gz		
SRR5009375	m130326_214045_42195_c100463152550000001523059105101375_s1_p0.bas.h5	m130326_214045_42195_c100463152550000001523059105101375_s1_p0.metadata.xml		
SRR5009376	m130307_153838_42195_c100415532550000001523046103151333_s1_p0.bas.h5	m130307_153838_42195_c100415532550000001523046103151333_s1_p0.metadata.xml		
SRR5009377	SA538_T00040_1.fastq.gz	SA538_T00040_2.fastq.gz	SA830_A57005_C8H5PANXX_6_AGCGCT_1_chastity_passed.fastq.gz	SA830_A57005_C8H5PANXX_6_AGCGCT_2_chastity_passed.fastq.gz
SRR5009378	SA466_S3_L001_R1_001.fastq.gz	SA466_S3_L001_R2_001.fastq.gz		
SRR5009379	m130307_131644_42195_c100415532550000001523046103151332_s1_p0.bas.h5	m130307_131644_42195_c100415532550000001523046103151332_s1_p0.metadata.xml		
SRR5009380	m130315_104758_42195_c100377942550000001523031403171361_s2_p0.bas.h5	m130315_104758_42195_c100377942550000001523031403171361_s2_p0.metadata.xml		
SRR5009381	SA465_S7_L001_R1_001.fastq.gz	SA465_S7_L001_R2_001.fastq.gz		
SRR5009382	siSRSF4-4_S11_L001_R1_001.fastq.gz	siSRSF4-4_S11_L001_R2_001.fastq.gz		
SRR5009383	SA470_A14565_D0R0HACXX_1_1.fastq.gz	SA470_A14565_D0R0HACXX_1_2.fastq.gz		
SRR5009384	m130322_022647_42195_c100385722550000001523033604251307_s1_p0.bas.h5	m130322_022647_42195_c100385722550000001523033604251307_s1_p0.metadata.xml		
SRR5009385	SA571_T00421_1.fastq.gz	SA571_T00421_2.fastq.gz		
SRR5009386	siHNRNPH1-4_S22_L001_R1_001.fastq.gz	siHNRNPH1-4_S22_L001_R2_001.fastq.gz		
SRR5009387	m130306_082121_42195_c100415822550000001523046103151350_s1_p0.bas.h5	m130306_082121_42195_c100415822550000001523046103151350_s1_p0.metadata.xml		
SRR5009388	SA572_T00422_1.fastq.gz	SA572_T00422_2.fastq.gz		
SRR5009389	SA505_S8_L001_R1_001.fastq.gz	SA505_S8_L001_R2_001.fastq.gz		
SRR5009390	m130308_093356_42195_c100415532550000001523046103151336_s1_p0.bas.h5	m130308_093356_42195_c100415532550000001523046103151336_s1_p0.metadata.xml		
SRR5009391	siSRSF1-3_S17_L001_R1_001.fastq.gz	siSRSF1-3_S17_L001_R2_001.fastq.gz		
SRR5009392	SA540_T00042_1.fastq.gz	SA540_T00042_2.fastq.gz	SA832_A57009_C8H5PANXX_7_ATCCTA_1_chastity_passed.fastq.gz	SA832_A57009_C8H5PANXX_7_ATCCTA_2_chastity_passed.fastq.gz
SRR5009393	SRRM2-4_S23_L001_R1_001.fastq.gz	SRRM2-4_S23_L001_R2_001.fastq.gz		
